Variable Name,Description,
UNIQUEID,Identifier for customers,
DISBURSED_AMOUNT,Amount of Loan disbursed,
ASSET_COST,Cost of the Asset,
LTV,Loan to Value of the asset,
BRANCH_ID,Branch where the loan was disbursed,
SUPPLIER_ID,Vehicle Dealer where the loan was disbursed,
MANUFACTURER_ID,"Vehicle manufacturer(Hero, Honda, TVS etc.)",
CURRENT_PINCODE_ID,Current pincode of the customer,
DATE_OF_BIRTH,Date of birth of the customer,
EMPLOYMENT_TYPE,Employment Type of the customer (Salaried/Self Employed),
DISBURSAL_DATE,Date of disbursement,
STATE_ID,State of disbursement,
EMPLOYEE_CODE_ID,Employee of the organization who logged the disbursement,
MOBILENO_AVL_FLAG,If Mobile no. was shared by the customer then flagged as 1,
AADHAR_FLAG,If aadhar was shared by the customer then flagged as 1,
PAN_FLAG,If pan was shared by the customer then flagged as 1,
VOTERID_FLAG,If voter  was shared by the customer then flagged as 1,
DRIVING_FLAG,If driving license was shared by the customer then flagged as 1,
PASSPORT_FLAG,If passport was shared by the customer then flagged as 1,
PERFORM_CNS_SCORE,Bureau Score,
PERFORM_CNS_SCORE_DESCRIPTION,Bureau score description,
PRI_NO_OF_ACCTS,Count of total loans taken by the customer at the time of disbursement,Primary accounts are those which the customer has taken for his personal use
PRI_ACTIVE_ACCTS,Count of active loans taken by the customer at the time of disbursement,
PRI_OVERDUE_ACCTS,Count of default accounts at the time of disbursement,
PRI_CURRENT_BALANCE,Total principal outstanding amount of the active loans at the time of disbursement,
PRI_SANCTIONED_AMOUNT,Total amount that was sanctioned for all the loans at the time of disbursement,
PRI_DISBURSED_AMOUNT,Total amount that was disbursed for all the loans at the time of disbursement,
SEC_NO_OF_ACCTS,Count of total loans taken by the customer at the time of disbursement,Secondary accounts are those which the customer act as a co-applicant or gaurantor
SEC_ACTIVE_ACCTS,Count of active loans taken by the customer at the time of disbursement,
SEC_OVERDUE_ACCTS,Count of default accounts at the time of disbursement,
SEC_CURRENT_BALANCE,Total Principal outstanding amount of the active loans at the time of disbursement,
SEC_SANCTIONED_AMOUNT,Total amount that was sanctioned for all the loans at the time of disbursement,
SEC_DISBURSED_AMOUNT,Total amount that was disbursed for all the loans at the time of disbursement,
PRIMARY_INSTAL_AMT,EMI Amount of the primary loan,
SEC_INSTAL_AMT,EMI Amount of the secondary loan,
NEW_ACCTS_IN_LAST_SIX_MONTHS,New loans taken by the customer in last 6 months before the disbursment,
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,Loans defaulted in the last 6 months,
AVERAGE_ACCT_AGE,Average loan tenure,
CREDIT_HISTORY_LENGTH,Time since first loan,
NO_OF_INQUIRIES,Enquries done by the customer for loans,
LOAN_DEFAULT,Payment default in the first EMI on due date (0 or 1),
